filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000002,0.008542,0.006868,0.984588,14.0,14.6125,2,,119,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999966,0.000034,0.000000,7.0,5.6294,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000000,0.997451,0.000002,0.002547,21.0,18.4754,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000012,0.003250,0.993655,0.003083,7.0,7.5288,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000026,0.999974,0.000000,7.0,5.4132,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,7.0,10.2136,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000001,0.000088,0.999911,0.000001,21.0,19.0099,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000000,0.000329,0.999671,0.000000,21.0,19.3117,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.006409,0.020915,0.123988,0.848688,14.0,12.0343,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000312,0.001460,0.364004,0.634224,14.0,12.4274,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000022,0.005334,0.170328,0.824316,14.0,13.0659,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000035,0.897026,0.098214,0.004725,7.0,7.8453,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000002,0.000086,0.998845,0.001066,7.0,10.1915,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000010,0.017794,0.921845,0.060351,14.0,13.5543,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999168,0.000000,0.000620,0.000212,0.0,0.0000,2,,118,1
