filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000017,0.000597,0.001695,0.997690,14.0,14.5829,2,,119,1
12k_Drive_End_B028_2_3007.mat,test,Drive,B,B,B,0.000088,0.000799,0.000979,0.998133,28.0,27.9427,2,,118,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999782,0.000187,0.000031,7.0,7.1048,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000001,0.999077,0.000486,0.000436,21.0,20.6950,2,,118,1
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,IR,IR,0.000132,0.996198,0.001917,0.001753,28.0,28.0738,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000007,0.014167,0.948481,0.037346,7.0,7.0068,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000051,0.999766,0.000182,7.0,6.7804,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000001,0.000068,0.999815,0.000117,7.0,7.9281,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000010,0.001994,0.997979,0.000018,21.0,20.8339,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000022,0.000934,0.998997,0.000047,21.0,20.8491,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000052,0.008203,0.074750,0.916995,14.0,13.3959,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,OR,0.000026,0.001296,0.499926,0.498752,14.0,11.5892,1,,118,0
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000007,0.003396,0.026651,0.969946,14.0,12.7774,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000004,0.994981,0.004412,0.000603,7.0,6.8425,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000006,0.000042,0.999330,0.000622,7.0,7.2586,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000070,0.113553,0.566961,0.319415,14.0,15.0738,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999307,0.000004,0.000037,0.000652,0.0,0.0000,2,,118,1
