filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000006,0.000192,0.000446,0.999356,14.0,14.0415,2,,119,1
12k_Drive_End_B028_2_3007.mat,test,Drive,B,B,B,0.000008,0.000446,0.000458,0.999089,28.0,27.9596,2,,118,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000002,0.999883,0.000085,0.000030,7.0,6.8014,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000001,0.998240,0.000085,0.001674,21.0,21.0098,2,,118,1
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,IR,IR,0.000027,0.999231,0.000518,0.000224,28.0,27.9255,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000008,0.000118,0.999368,0.000506,7.0,6.9750,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000002,0.000184,0.999594,0.000219,7.0,6.9392,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000001,0.000059,0.999849,0.000090,7.0,6.9836,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000000,0.000050,0.999949,0.000000,21.0,20.8505,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000001,0.000040,0.999956,0.000004,21.0,20.9631,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000343,0.026440,0.165960,0.807258,14.0,13.0941,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000095,0.011063,0.227396,0.761446,14.0,12.3862,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000020,0.005263,0.020070,0.974647,14.0,13.6588,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000002,0.999781,0.000079,0.000137,7.0,6.9148,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000003,0.000185,0.999520,0.000293,7.0,7.0357,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000051,0.095257,0.772945,0.131747,14.0,17.2997,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999720,0.000023,0.000220,0.000038,0.0,0.0000,2,,118,1
