filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.003126,0.005056,0.018539,0.973279,14.0,14.8115,2,,119,1
12k_Drive_End_B028_2_3007.mat,test,Drive,B,B,B,0.000000,0.000000,0.000474,0.999527,28.0,32.0875,2,,118,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.963733,0.036267,0.000000,7.0,10.6951,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000003,0.912012,0.083723,0.004262,21.0,20.1238,2,,118,1
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,IR,IR,0.000000,0.999946,0.000053,0.000001,28.0,30.8367,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000003,0.001590,0.967571,0.030836,7.0,7.7135,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000001,0.999650,0.000350,7.0,6.8045,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000164,0.999768,0.000068,7.0,13.2750,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000000,0.000152,0.999399,0.000450,21.0,22.5472,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000001,0.000790,0.998874,0.000336,21.0,21.0102,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000544,0.006508,0.012307,0.980641,14.0,21.9469,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.037332,0.044658,0.110178,0.807832,14.0,17.4548,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000075,0.108244,0.050920,0.840761,14.0,19.5636,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,OR,0.000001,0.447987,0.551688,0.000325,7.0,10.8309,1,,118,0
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000000,0.000048,0.953123,0.046829,7.0,8.8758,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000000,0.000023,0.999553,0.000424,14.0,15.6332,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.983168,0.011721,0.002969,0.002143,0.0,0.0000,2,,118,1
