filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000314,0.005545,0.003099,0.991041,14.0,14.8456,2,,119,1
12k_Drive_End_B028_2_3007.mat,test,Drive,B,B,B,0.000409,0.004929,0.009788,0.984875,28.0,28.3304,2,,118,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000002,0.994382,0.005595,0.000020,7.0,7.6259,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000010,0.997745,0.001342,0.000903,21.0,19.8826,2,,118,1
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,IR,IR,0.000176,0.992493,0.006003,0.001328,28.0,27.7303,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000013,0.002708,0.989088,0.008191,7.0,7.6321,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000005,0.007529,0.992397,0.000069,7.0,6.3239,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000007,0.006435,0.993350,0.000208,7.0,8.1587,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000315,0.012773,0.981797,0.005115,21.0,20.3816,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000124,0.015285,0.979950,0.004642,21.0,20.7877,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.043238,0.029864,0.018261,0.908638,14.0,15.4193,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.176262,0.021529,0.055675,0.746534,14.0,13.5324,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.003922,0.140901,0.023860,0.831316,14.0,18.2970,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000005,0.981930,0.018023,0.000041,7.0,6.8028,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000045,0.001920,0.952901,0.045135,7.0,8.7619,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000005,0.002135,0.997064,0.000796,14.0,12.5055,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.996302,0.000185,0.000553,0.002960,0.0,0.0000,2,,118,1
