filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000021,0.000000,0.000010,0.999969,14.0,14.2095,2,,119,1
12k_Drive_End_B028_2_3007.mat,test,Drive,B,B,B,0.000005,0.000262,0.001223,0.998509,28.0,28.2047,2,,118,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999565,0.000435,0.000000,7.0,7.3019,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000000,0.999186,0.000176,0.000637,21.0,21.0741,2,,118,1
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,IR,IR,0.000002,0.998990,0.000880,0.000127,28.0,28.2456,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000002,0.000076,0.997035,0.002887,7.0,7.4690,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000044,0.999463,0.000493,7.0,7.2696,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000005,0.999942,0.000052,7.0,7.0902,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000004,0.001214,0.998440,0.000341,21.0,21.2955,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000001,0.000076,0.999867,0.000056,21.0,21.1380,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000020,0.000788,0.000028,0.999164,14.0,14.2272,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.017426,0.000613,0.000088,0.981874,14.0,13.3533,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000013,0.002825,0.000049,0.997113,14.0,14.2702,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000000,0.997809,0.002191,0.000000,7.0,7.2893,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000003,0.000007,0.998043,0.001947,7.0,7.4154,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000000,0.000157,0.997903,0.001940,14.0,13.7250,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999597,0.000035,0.000019,0.000348,0.0,0.0000,2,,118,1
