filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000149,0.000073,0.000043,0.999734,14.0,14.8680,2,,119,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,OR,0.000083,0.373334,0.626492,0.000091,7.0,9.3003,0,,118,0
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000013,0.865069,0.131177,0.003741,21.0,20.7473,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000001,0.000003,0.999885,0.000111,7.0,6.5582,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000021,0.000001,0.999964,0.000015,7.0,6.7580,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,7.0,10.2095,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000007,0.000124,0.999846,0.000022,21.0,20.0299,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000000,0.000003,0.999997,0.000000,21.0,21.1406,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000001,0.001958,0.017384,0.980657,14.0,15.3322,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000015,0.001111,0.014706,0.984168,14.0,12.9574,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000000,0.000702,0.002716,0.996582,14.0,12.2986,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000011,0.978883,0.021095,0.000010,7.0,6.0471,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000004,0.000008,0.999983,0.000006,7.0,7.7752,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000003,0.000895,0.999072,0.000031,14.0,13.7237,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.998920,0.000022,0.000623,0.000434,0.0,0.0000,2,,118,1
