filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000324,0.000005,0.000006,0.999665,14.0,14.2350,2,,119,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000002,0.999766,0.000231,0.000001,7.0,7.3197,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000025,0.999142,0.000083,0.000749,21.0,21.0646,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000002,0.000099,0.998593,0.001307,7.0,7.4953,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000001,0.000008,0.999989,0.000002,7.0,7.0903,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000001,0.000003,0.999995,0.000001,7.0,8.3296,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000020,0.000631,0.999306,0.000043,21.0,21.0389,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000008,0.000024,0.999951,0.000016,21.0,21.2266,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000012,0.010413,0.012722,0.976853,14.0,15.2022,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000008,0.002531,0.003457,0.994004,14.0,13.1703,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000006,0.004247,0.003311,0.992437,14.0,14.4096,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000010,0.998984,0.001004,0.000003,7.0,7.0104,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000022,0.000001,0.999914,0.000062,7.0,8.1869,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000009,0.000355,0.999623,0.000012,14.0,14.1549,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999565,0.000026,0.000137,0.000272,0.0,0.0000,2,,118,1
