filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.005446,0.000657,0.000293,0.993604,14.0,15.4105,2,,119,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000003,0.999772,0.000148,0.000077,7.0,6.9145,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000032,0.997741,0.000822,0.001404,21.0,20.3930,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000042,0.003157,0.995235,0.001566,7.0,6.8232,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000013,0.000052,0.999916,0.000019,7.0,6.7694,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000009,0.000023,0.999911,0.000057,7.0,6.5643,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000105,0.002767,0.995109,0.002018,21.0,19.6139,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000081,0.001177,0.998309,0.000434,21.0,20.9901,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000254,0.060913,0.219860,0.718973,14.0,15.0480,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000136,0.016478,0.092572,0.890815,14.0,14.5905,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000327,0.116634,0.110324,0.772715,14.0,13.6335,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000011,0.999551,0.000175,0.000263,7.0,6.7838,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000028,0.000002,0.997842,0.002129,7.0,7.7263,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000117,0.007758,0.991869,0.000256,14.0,13.6691,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.997903,0.000269,0.000357,0.001472,0.0,0.0000,2,,118,1
