filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000013,0.023191,0.012898,0.963897,14.0,14.1352,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.998340,0.001661,0.000000,7.0,2.8200,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000002,0.973867,0.009646,0.016485,21.0,17.5609,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000094,0.007979,0.981798,0.010129,7.0,5.7382,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000001,0.000001,0.999999,0.000000,7.0,4.3460,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000003,0.999998,0.000000,7.0,4.4226,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000000,0.000180,0.999820,0.000000,21.0,19.7120,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000000,0.000107,0.999893,0.000000,21.0,17.1269,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.005157,0.111474,0.162894,0.720474,14.0,10.9366,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.001002,0.024061,0.410777,0.564160,14.0,11.9512,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000121,0.085181,0.288305,0.626393,14.0,11.7492,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000113,0.927675,0.063558,0.008654,7.0,7.2473,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000050,0.002536,0.982639,0.014776,7.0,8.4187,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000086,0.092655,0.726385,0.180874,14.0,12.8825,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.994066,0.000119,0.003642,0.002174,0.0,0.0000,2,,235,1
