filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000002,0.000033,0.000045,0.999920,14.0,14.1999,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000010,0.999971,0.000011,0.000008,7.0,7.0357,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000001,0.999586,0.000094,0.000318,21.0,21.0901,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000007,0.000051,0.999500,0.000441,7.0,6.9939,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000004,0.000044,0.999950,0.000002,7.0,7.0226,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000003,0.000006,0.999987,0.000004,7.0,7.5180,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000001,0.000077,0.999922,0.000001,21.0,21.0564,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000001,0.000029,0.999969,0.000001,21.0,21.0626,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000118,0.047240,0.046745,0.905898,14.0,13.8091,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000041,0.007053,0.182236,0.810670,14.0,12.3912,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000010,0.003548,0.020436,0.976006,14.0,14.4257,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000006,0.999847,0.000096,0.000051,7.0,6.8496,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000001,0.000055,0.999786,0.000158,7.0,7.0999,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000079,0.311652,0.550675,0.137594,14.0,15.9501,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999871,0.000018,0.000003,0.000108,0.0,0.0000,2,,235,1
