filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000179,0.000159,0.000062,0.999600,14.0,16.0307,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999720,0.000279,0.000000,7.0,7.5373,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000000,0.999944,0.000034,0.000022,21.0,20.3193,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000000,0.000248,0.995346,0.004405,7.0,7.2583,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,7.0,6.7708,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000009,0.999992,0.000000,7.0,10.2219,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000000,0.000028,0.999966,0.000006,21.0,21.2540,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000000,0.000161,0.999839,0.000000,21.0,20.5780,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000125,0.001381,0.010861,0.987632,14.0,17.5838,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.012927,0.003798,0.075698,0.907576,14.0,14.3626,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000003,0.057308,0.012474,0.930215,14.0,14.3521,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000000,0.693870,0.306128,0.000002,7.0,7.5902,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000000,0.000000,0.996132,0.003868,7.0,9.3488,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,14.0,14.4817,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.998453,0.000585,0.000830,0.000133,0.0,0.0000,2,,235,1
