filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000002,0.000027,0.000000,0.999972,14.0,13.7024,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999931,0.000069,0.000000,7.0,6.9190,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000001,0.999805,0.000115,0.000080,21.0,20.8465,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000000,0.000357,0.999009,0.000635,7.0,7.0411,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000162,0.999837,0.000000,7.0,6.9381,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000373,0.999626,0.000001,7.0,7.4274,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000004,0.000012,0.999964,0.000020,21.0,20.9271,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000004,0.000061,0.999921,0.000013,21.0,20.8735,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000045,0.004211,0.004077,0.991667,14.0,13.9465,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.007653,0.000699,0.000453,0.991194,14.0,13.6283,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000015,0.000752,0.000429,0.998803,14.0,13.5101,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000000,0.999796,0.000204,0.000000,7.0,6.9854,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000000,0.000005,0.998674,0.001321,7.0,7.3918,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000000,0.000000,0.999996,0.000005,14.0,13.9525,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999966,0.000006,0.000016,0.000012,0.0,0.0000,2,,235,1
