filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000005,0.000298,0.000022,0.999674,14.0,14.1279,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000001,0.999936,0.000062,0.000002,7.0,7.0191,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000003,0.998828,0.000848,0.000322,21.0,20.7917,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000005,0.000433,0.999043,0.000520,7.0,6.7826,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000119,0.000433,0.999411,0.000037,7.0,6.9464,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000015,0.000330,0.999609,0.000046,7.0,7.3076,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000036,0.000254,0.999543,0.000167,21.0,20.8947,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000012,0.000153,0.999808,0.000027,21.0,21.0173,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000313,0.002611,0.005721,0.991355,14.0,13.6533,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.003097,0.001785,0.001675,0.993444,14.0,12.9300,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000373,0.006483,0.003539,0.989605,14.0,14.6390,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000003,0.996719,0.003272,0.000006,7.0,6.9712,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000008,0.000087,0.999168,0.000736,7.0,7.2297,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000001,0.000013,0.999978,0.000009,14.0,13.5153,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999520,0.000033,0.000318,0.000129,0.0,0.0000,2,,235,1
