filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000021,0.000806,0.000380,0.998793,14.0,13.3650,2,,237,1
12k_Drive_End_B028_2_3007.mat,test,Drive,B,B,B,0.000006,0.001440,0.000696,0.997858,28.0,27.6374,2,,235,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000001,0.999711,0.000283,0.000005,7.0,7.3378,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000001,0.999042,0.000046,0.000911,21.0,21.0691,2,,236,1
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,IR,IR,0.000067,0.995419,0.003113,0.001401,28.0,28.3572,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000009,0.027278,0.962877,0.009836,7.0,6.8200,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000008,0.999891,0.000101,7.0,6.7021,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000001,0.000668,0.999264,0.000067,7.0,7.2046,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000003,0.000697,0.999299,0.000001,21.0,21.2020,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000002,0.000449,0.999545,0.000004,21.0,21.2049,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000182,0.020560,0.081951,0.897307,14.0,11.5561,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000056,0.006442,0.216875,0.776627,14.0,11.4420,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000011,0.007196,0.017501,0.975293,14.0,12.9161,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000006,0.998890,0.001032,0.000072,7.0,6.8162,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000001,0.000003,0.999763,0.000232,7.0,7.0974,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,IR,0.000413,0.431087,0.390059,0.178442,14.0,14.0881,0,3,236,0
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999118,0.000072,0.000271,0.000538,0.0,0.0000,2,,235,1
