filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000373,0.000531,0.000895,0.998201,14.0,13.8761,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000013,0.686257,0.313730,0.000001,7.0,8.9631,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000002,0.736529,0.263375,0.000094,21.0,20.5068,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000000,0.000003,0.999995,0.000002,7.0,6.8217,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,7.0,6.7339,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,7.0,10.3605,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000001,0.000008,0.999991,0.000001,21.0,20.2252,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,21.0,20.9129,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000000,0.016220,0.010530,0.973250,14.0,15.2214,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000005,0.010198,0.007996,0.981801,14.0,12.5706,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000000,0.003065,0.001700,0.995236,14.0,12.5239,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000002,0.879690,0.120308,0.000000,7.0,5.6662,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,7.0,8.1903,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000000,0.000011,0.999987,0.000003,14.0,13.8275,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999857,0.000006,0.000133,0.000004,0.0,0.0000,2,,235,1
