filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000011,0.000019,0.000000,0.999970,14.0,14.0204,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999967,0.000033,0.000001,7.0,7.1670,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000001,0.999716,0.000051,0.000232,21.0,21.0979,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000004,0.000029,0.999908,0.000059,7.0,6.7706,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000001,0.000002,0.999999,0.000001,7.0,6.8609,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000001,0.000003,0.999997,0.000000,7.0,7.7583,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000009,0.000217,0.999770,0.000005,21.0,20.7316,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000005,0.000008,0.999983,0.000003,21.0,20.8123,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000005,0.014014,0.002178,0.983802,14.0,15.4331,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000002,0.000195,0.000089,0.999714,14.0,13.8095,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000001,0.000455,0.000021,0.999523,14.0,13.9903,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000001,0.999829,0.000168,0.000003,7.0,6.6733,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000007,0.000000,0.999975,0.000018,7.0,6.9800,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000002,0.000059,0.999938,0.000000,14.0,13.6939,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999820,0.000006,0.000083,0.000091,0.0,0.0000,2,,235,1
