filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000938,0.000595,0.000220,0.998248,14.0,14.2508,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000002,0.999596,0.000381,0.000021,7.0,7.0630,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000024,0.996289,0.000388,0.003299,21.0,20.9772,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000085,0.000581,0.996186,0.003148,7.0,6.9108,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000018,0.000237,0.999722,0.000023,7.0,6.9851,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000016,0.000269,0.999687,0.000028,7.0,7.3765,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000023,0.000229,0.999628,0.000119,21.0,21.0912,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000021,0.000115,0.999790,0.000074,21.0,20.9878,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000097,0.002511,0.008117,0.989275,14.0,13.8357,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000103,0.003528,0.006079,0.990290,14.0,14.3323,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000130,0.003041,0.011425,0.985405,14.0,13.5929,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000007,0.998820,0.001079,0.000094,7.0,6.9471,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000019,0.000026,0.999767,0.000187,7.0,7.6195,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000090,0.001021,0.998763,0.000126,14.0,14.0993,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.998584,0.000098,0.000599,0.000720,0.0,0.0000,2,,235,1
