filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000002,0.005369,0.020086,0.974543,7.0,7.8454,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.009372,0.093406,0.080779,0.816442,21.0,14.5185,0,,119,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.954839,0.045161,0.000000,7.0,9.5184,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.001092,0.990687,0.007505,0.000716,14.0,17.3722,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.999210,0.000146,0.000644,21.0,20.2884,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.000598,0.026505,0.970408,0.002489,14.0,13.5084,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.000516,0.999484,0.000000,21.0,21.3802,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000000,0.001461,0.998539,0.000000,21.0,18.6001,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000155,0.056774,0.323727,0.619344,7.0,6.4186,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000003,0.002596,0.006285,0.991117,21.0,18.5269,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000001,0.946617,0.051652,0.001729,14.0,14.9231,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000001,0.000210,0.998994,0.000794,7.0,5.9320,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000039,0.008264,0.967134,0.024563,7.0,8.3728,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000002,0.021275,0.968655,0.010069,21.0,15.2818,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.985163,0.000126,0.006828,0.007882,0.0,0.0000,3,,118,1
