filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000007,0.000212,0.000949,0.998832,7.0,6.7944,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000040,0.011887,0.000943,0.987130,21.0,16.5482,0,,119,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000005,0.998209,0.001780,0.000006,7.0,6.7721,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000205,0.997623,0.002156,0.000016,14.0,14.7087,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000005,0.998981,0.000057,0.000957,21.0,21.0444,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.001402,0.002116,0.995268,0.001215,14.0,14.3194,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000004,0.000398,0.999593,0.000004,21.0,21.3347,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000002,0.000121,0.999875,0.000002,21.0,20.8985,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000737,0.000027,0.030042,0.969194,7.0,7.1994,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000005,0.000098,0.000142,0.999756,21.0,18.4068,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000017,0.997157,0.002453,0.000374,14.0,14.8506,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000004,0.000009,0.999798,0.000189,7.0,6.8909,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000002,0.000087,0.999443,0.000467,7.0,7.1700,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000039,0.000463,0.996046,0.003451,21.0,18.2516,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.999087,0.000014,0.000462,0.000438,0.0,0.0000,3,,118,1
