filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000052,0.000098,0.012042,0.987808,7.0,6.5700,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.003314,0.009853,0.114719,0.872114,21.0,9.4409,0,,119,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000002,0.994128,0.005864,0.000006,7.0,6.4428,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.003168,0.978123,0.000863,0.017847,14.0,9.1286,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000008,0.998215,0.000841,0.000937,21.0,19.9568,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.024588,0.017079,0.909795,0.048537,14.0,14.4596,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000108,0.000647,0.998259,0.000986,21.0,20.9814,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000048,0.002372,0.996924,0.000656,21.0,19.6096,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000848,0.001285,0.025802,0.972065,7.0,6.7468,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000245,0.001064,0.031886,0.966805,21.0,18.5009,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000516,0.996571,0.001783,0.001129,14.0,13.8344,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000058,0.000999,0.989384,0.009559,7.0,7.3496,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000025,0.008189,0.990953,0.000833,7.0,6.2566,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,IR,0.001298,0.466976,0.463114,0.068613,21.0,19.4059,1,3,117,0
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.996759,0.000182,0.001715,0.001344,0.0,0.0000,3,,118,1
