filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000021,0.000027,0.002165,0.997787,7.0,6.5866,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.011754,0.068220,0.240372,0.679654,21.0,14.8148,0,,119,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000004,0.996936,0.002972,0.000087,7.0,6.5416,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.031408,0.923132,0.042183,0.003277,14.0,13.3455,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000024,0.968115,0.015421,0.016439,21.0,20.1065,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.003005,0.015586,0.934485,0.046924,14.0,14.2357,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000137,0.001211,0.997612,0.001040,21.0,20.9496,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000063,0.000779,0.998879,0.000279,21.0,20.8585,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000610,0.005202,0.006152,0.988036,7.0,8.0974,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000906,0.006687,0.090710,0.901697,21.0,14.3005,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000246,0.984175,0.010645,0.004934,14.0,13.1729,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000098,0.000069,0.974969,0.024864,7.0,6.7353,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000036,0.013098,0.986212,0.000654,7.0,6.6380,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000446,0.234091,0.716196,0.049266,21.0,18.9301,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.998705,0.000099,0.000225,0.000970,0.0,0.0000,3,,118,1
