filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000019,0.000214,0.014172,0.985595,7.0,8.3599,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.024444,0.375814,0.176959,0.422784,21.0,17.9418,0,,119,1
12k_Drive_End_B028_3_3008.mat,test,Drive,B,B,B,0.000008,0.000469,0.001120,0.998403,28.0,28.2153,3,,118,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000013,0.996214,0.003239,0.000535,7.0,7.8440,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.020195,0.713644,0.255858,0.010303,14.0,13.7721,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000001,0.976136,0.000137,0.023727,21.0,20.3125,1,,118,1
12k_Drive_End_IR028_1_3002.mat,test,Drive,IR,IR,IR,0.000003,0.998400,0.000525,0.001072,28.0,28.2696,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.007305,0.005531,0.980669,0.006495,14.0,14.3798,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000001,0.001102,0.998895,0.000002,21.0,21.6845,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000001,0.000168,0.999819,0.000012,21.0,21.4227,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.007795,0.000225,0.053081,0.938900,7.0,7.2640,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000083,0.010861,0.001258,0.987798,21.0,17.8201,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000019,0.982870,0.001744,0.015366,14.0,16.0395,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000010,0.001021,0.998537,0.000432,7.0,7.3033,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000015,0.001318,0.996976,0.001691,7.0,7.6203,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000074,0.000199,0.967112,0.032615,21.0,15.4499,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.998633,0.000007,0.000816,0.000544,0.0,0.0000,3,,118,1
