filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000000,0.000655,0.013693,0.985652,7.0,5.4308,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.013185,0.012181,0.414494,0.560139,21.0,11.6873,0,,119,1
12k_Drive_End_B028_3_3008.mat,test,Drive,B,B,B,0.000000,0.000394,0.000290,0.999316,28.0,29.9977,3,,118,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.996937,0.003063,0.000000,7.0,9.8425,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.013057,0.925469,0.056744,0.004731,14.0,12.5209,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.988112,0.000514,0.011374,21.0,19.5142,1,,118,1
12k_Drive_End_IR028_1_3002.mat,test,Drive,IR,IR,IR,0.000000,0.999989,0.000007,0.000004,28.0,27.8983,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.000331,0.000645,0.993761,0.005263,14.0,14.9118,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.000392,0.999220,0.000388,21.0,20.5733,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000000,0.004835,0.995096,0.000069,21.0,19.2706,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000105,0.004474,0.016032,0.979389,7.0,6.8922,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000015,0.000362,0.030628,0.968994,21.0,14.8100,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000462,0.972962,0.006166,0.020409,14.0,14.3480,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000000,0.000011,0.993830,0.006159,7.0,7.4935,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000000,0.000949,0.996783,0.002269,7.0,7.2833,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000006,0.023651,0.974028,0.002316,21.0,20.1661,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.992443,0.005774,0.000859,0.000924,0.0,0.0000,3,,118,1
