filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000143,0.001171,0.004414,0.994273,7.0,9.3359,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.014230,0.005600,0.192446,0.787724,21.0,11.3300,0,,119,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000001,0.998507,0.001491,0.000001,7.0,8.8313,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.002760,0.805349,0.191858,0.000033,14.0,15.4767,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000004,0.996401,0.003099,0.000496,21.0,20.4107,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.003321,0.005220,0.990479,0.000981,14.0,17.8575,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000001,0.000015,0.999983,0.000001,21.0,22.5505,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000009,0.002463,0.997526,0.000002,21.0,19.0166,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000856,0.001994,0.039274,0.957875,7.0,8.2395,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000124,0.002447,0.025036,0.972393,21.0,15.4001,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000040,0.886929,0.055861,0.057170,14.0,14.9029,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000005,0.000032,0.999957,0.000006,7.0,7.9738,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000075,0.000590,0.993800,0.005535,7.0,7.7111,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000032,0.016474,0.978575,0.004919,21.0,19.7115,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.986732,0.000079,0.011170,0.002019,0.0,0.0000,3,,118,1
