filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000004,0.000000,0.000009,0.999987,7.0,7.2431,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000436,0.000910,0.000590,0.998064,21.0,14.8909,0,,119,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.998561,0.001439,0.000001,7.0,7.3653,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000005,0.999959,0.000030,0.000006,14.0,14.4159,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000001,0.999711,0.000016,0.000272,21.0,20.8220,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.001586,0.007777,0.987982,0.002655,14.0,14.3398,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000007,0.000072,0.999913,0.000008,21.0,21.0235,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000003,0.000015,0.999978,0.000005,21.0,20.6787,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000011,0.000006,0.000189,0.999793,7.0,6.9606,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000021,0.000239,0.000997,0.998742,21.0,20.0456,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000001,0.999826,0.000018,0.000155,14.0,14.1725,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000003,0.000012,0.999949,0.000036,7.0,7.0303,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000001,0.000022,0.999935,0.000043,7.0,6.9436,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000010,0.000008,0.999623,0.000359,21.0,20.6549,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.998662,0.000034,0.000230,0.001074,0.0,0.0000,3,,118,1
