filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000010,0.000230,0.000021,0.999740,7.0,7.5395,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000170,0.028444,0.003123,0.968262,21.0,17.8914,0,,119,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000002,0.999642,0.000352,0.000004,7.0,7.4553,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000121,0.997790,0.001805,0.000285,14.0,14.2481,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000002,0.999009,0.000063,0.000926,21.0,20.3901,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.020272,0.129142,0.816724,0.033862,14.0,15.4299,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000052,0.001102,0.998715,0.000131,21.0,20.7804,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000052,0.000771,0.999069,0.000108,21.0,20.8177,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000201,0.000060,0.002252,0.997488,7.0,7.8723,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000060,0.013715,0.002180,0.984045,21.0,20.3325,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000010,0.970820,0.000174,0.028996,14.0,14.1730,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000031,0.000006,0.999395,0.000568,7.0,7.2547,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000011,0.000091,0.999301,0.000598,7.0,7.1193,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000029,0.000399,0.967794,0.031778,21.0,20.4442,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.994521,0.000345,0.002051,0.003083,0.0,0.0000,3,,118,1
