filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000000,0.000433,0.002141,0.997426,7.0,7.3837,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.010241,0.026680,0.048828,0.914252,21.0,13.8656,0,,237,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000001,0.976783,0.023216,0.000000,7.0,10.7158,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.005460,0.985659,0.008498,0.000382,14.0,17.1236,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.997800,0.000067,0.002133,21.0,19.1069,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.001022,0.076130,0.906621,0.016227,14.0,14.1831,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.004242,0.995745,0.000012,21.0,20.6283,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000002,0.007191,0.992806,0.000001,21.0,19.3043,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000138,0.038287,0.133328,0.828247,7.0,7.9985,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000001,0.000649,0.002645,0.996705,21.0,18.4462,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000000,0.958722,0.034421,0.006857,14.0,14.5640,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000004,0.000087,0.996794,0.003115,7.0,6.6751,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000051,0.005129,0.919818,0.075002,7.0,8.7892,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000005,0.042378,0.893236,0.064381,21.0,15.0281,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.991452,0.000109,0.003616,0.004822,0.0,0.0000,3,,236,1
