filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000006,0.000015,0.000018,0.999961,7.0,6.4867,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000160,0.001985,0.000659,0.997195,21.0,11.9632,0,,237,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000007,0.997101,0.002890,0.000002,7.0,6.8336,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000064,0.997512,0.002415,0.000010,14.0,15.0405,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000001,0.998189,0.000807,0.001004,21.0,20.9733,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.001921,0.000104,0.996921,0.001053,14.0,13.9509,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000001,0.001114,0.998868,0.000018,21.0,20.5378,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000001,0.001410,0.998573,0.000016,21.0,20.8229,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000483,0.000002,0.007855,0.991659,7.0,6.7695,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000002,0.000018,0.000609,0.999372,21.0,18.2917,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000020,0.990377,0.005592,0.004011,14.0,14.1998,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000131,0.000030,0.999286,0.000553,7.0,6.6160,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000017,0.000020,0.999183,0.000779,7.0,6.8990,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000024,0.000038,0.997527,0.002412,21.0,16.9003,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.997226,0.000035,0.001096,0.001642,0.0,0.0000,3,,236,1
