filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000000,0.001600,0.003277,0.995123,7.0,7.1222,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.014326,0.037015,0.043284,0.905375,21.0,13.0385,0,,237,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.999711,0.000290,0.000000,7.0,8.9793,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.086273,0.771482,0.120625,0.021620,14.0,14.3299,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.999925,0.000059,0.000016,21.0,20.5988,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.003897,0.018753,0.956048,0.021302,14.0,15.6232,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.000491,0.999496,0.000013,21.0,20.8775,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000000,0.026615,0.973381,0.000004,21.0,19.6734,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000070,0.000508,0.015046,0.984376,7.0,7.5870,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000040,0.001895,0.083820,0.914245,21.0,14.6935,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000207,0.979734,0.006456,0.013603,14.0,15.0029,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000000,0.000559,0.957687,0.041753,7.0,7.4133,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000000,0.005715,0.986625,0.007659,7.0,7.3858,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000009,0.194456,0.789554,0.015982,21.0,21.3557,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.994604,0.004278,0.000490,0.000628,0.0,0.0000,3,,236,1
