filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000000,0.000023,0.000344,0.999633,7.0,6.3589,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000044,0.057104,0.088792,0.854060,21.0,11.5131,0,,237,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.999896,0.000104,0.000000,7.0,6.4968,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000267,0.999177,0.000487,0.000070,14.0,12.7606,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.999359,0.000009,0.000632,21.0,19.5890,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.001140,0.008635,0.953493,0.036733,14.0,14.5859,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000075,0.003597,0.995709,0.000619,21.0,20.4699,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000026,0.075463,0.924354,0.000157,21.0,19.5480,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000025,0.003409,0.001447,0.995120,7.0,7.3619,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000006,0.006403,0.003442,0.990149,21.0,19.1018,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000011,0.999926,0.000054,0.000009,14.0,13.4423,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000000,0.000076,0.998441,0.001483,7.0,6.5080,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000000,0.013669,0.986220,0.000112,7.0,6.1740,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,IR,0.000267,0.903843,0.089133,0.006758,21.0,17.2704,1,3,234,0
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.999404,0.000133,0.000386,0.000077,0.0,0.0000,3,,236,1
