filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000019,0.000187,0.001162,0.998631,7.0,6.8679,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000517,0.016085,0.026982,0.956416,21.0,18.9122,0,,237,1
12k_Drive_End_B028_3_3008.mat,test,Drive,B,B,B,0.000097,0.000181,0.000757,0.998965,28.0,27.7871,3,,235,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.999896,0.000102,0.000001,7.0,6.8050,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000462,0.659784,0.334861,0.004893,14.0,13.6602,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000003,0.999217,0.000606,0.000174,21.0,20.8680,1,,236,1
12k_Drive_End_IR028_1_3002.mat,test,Drive,IR,IR,IR,0.000005,0.999274,0.000193,0.000527,28.0,27.7613,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.003884,0.000702,0.993195,0.002219,14.0,14.0363,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.000772,0.999227,0.000001,21.0,20.6433,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000000,0.000209,0.999773,0.000018,21.0,20.6051,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000393,0.000051,0.002503,0.997053,7.0,6.8439,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000026,0.002536,0.054451,0.942987,21.0,15.5648,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000007,0.963179,0.021549,0.015264,14.0,14.9492,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000007,0.000182,0.998906,0.000905,7.0,6.6680,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000013,0.000250,0.997571,0.002166,7.0,6.8808,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000010,0.000221,0.997610,0.002159,21.0,17.6727,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.999173,0.000012,0.000187,0.000628,0.0,0.0000,3,,236,1
