filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000001,0.000003,0.004186,0.995811,7.0,7.0183,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000013,0.018437,0.022617,0.958933,21.0,9.9713,0,,237,1
12k_Drive_End_B028_3_3008.mat,test,Drive,B,B,B,0.000026,0.000365,0.000822,0.998787,28.0,28.2776,3,,235,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.999896,0.000104,0.000001,7.0,7.1865,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000133,0.803263,0.072580,0.124024,14.0,11.1113,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.998996,0.000659,0.000344,21.0,21.1603,1,,236,1
12k_Drive_End_IR028_1_3002.mat,test,Drive,IR,IR,IR,0.000001,0.997931,0.000734,0.001335,28.0,28.2034,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.000752,0.044283,0.934634,0.020331,14.0,13.6800,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.001082,0.997256,0.001661,21.0,21.0486,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000000,0.000250,0.999468,0.000281,21.0,20.6214,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000005,0.002891,0.012945,0.984159,7.0,7.6040,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000001,0.011873,0.000549,0.987576,21.0,18.2183,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000186,0.995370,0.001998,0.002447,14.0,14.1127,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000001,0.000031,0.986979,0.012989,7.0,7.4389,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000000,0.001826,0.997184,0.000989,7.0,7.6484,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000012,0.286113,0.493546,0.220329,21.0,18.8270,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.997655,0.000242,0.000760,0.001344,0.0,0.0000,3,,236,1
