filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000005,0.000028,0.000164,0.999803,7.0,8.6524,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.004924,0.007699,0.050126,0.937250,21.0,11.2095,0,,237,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.999911,0.000090,0.000000,7.0,8.7289,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.001154,0.976890,0.021943,0.000014,14.0,16.1232,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.999850,0.000075,0.000075,21.0,20.6201,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.002980,0.006787,0.988993,0.001240,14.0,17.1391,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.000037,0.999963,0.000000,21.0,22.1820,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000002,0.006846,0.993152,0.000000,21.0,19.7791,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000172,0.003201,0.007144,0.989483,7.0,8.0552,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000009,0.002796,0.012227,0.984969,21.0,16.0897,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000003,0.893571,0.009004,0.097422,14.0,14.8967,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000001,0.000009,0.999987,0.000003,7.0,7.7658,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000012,0.000392,0.994820,0.004776,7.0,7.7811,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000009,0.022323,0.970070,0.007598,21.0,20.2095,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.993092,0.000011,0.004792,0.002105,0.0,0.0000,3,,236,1
