filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000000,0.000000,0.000001,1.000000,7.0,7.9143,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000057,0.000708,0.000030,0.999205,21.0,14.4265,0,,237,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.999974,0.000026,0.000000,7.0,7.1578,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000007,0.999892,0.000095,0.000006,14.0,15.1856,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000002,0.999145,0.000055,0.000797,21.0,21.0574,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.011907,0.000874,0.987019,0.000200,14.0,13.8703,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000006,0.000369,0.999615,0.000010,21.0,21.1293,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000005,0.000378,0.999596,0.000021,21.0,21.0260,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000000,0.000174,0.000069,0.999757,7.0,7.6341,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000035,0.000093,0.007337,0.992535,21.0,19.7582,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000001,0.999844,0.000032,0.000123,14.0,13.8880,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000001,0.000003,0.999966,0.000030,7.0,6.9832,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000001,0.000142,0.999670,0.000187,7.0,7.0918,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000040,0.219182,0.779455,0.001323,21.0,19.2528,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.998205,0.000251,0.000370,0.001174,0.0,0.0000,3,,236,1
