filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000014,0.000088,0.000062,0.999837,7.0,7.2007,2,,236,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.000027,0.000884,0.000400,0.998689,21.0,17.9943,0,,237,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000002,0.999453,0.000543,0.000002,7.0,7.0676,3,,239,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.000018,0.995877,0.004041,0.000063,14.0,14.0852,0,,236,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000004,0.998811,0.000333,0.000852,21.0,20.8827,1,,236,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.004408,0.032936,0.957309,0.005347,14.0,14.4464,3,6,237,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000188,0.003509,0.996200,0.000103,21.0,20.8056,1,3,237,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000085,0.008129,0.991735,0.000052,21.0,21.0815,3,6,237,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000288,0.000298,0.001858,0.997556,7.0,7.0887,2,,236,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000017,0.005710,0.000404,0.993870,21.0,20.8039,1,,236,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000007,0.983801,0.000156,0.016036,14.0,14.1803,1,,236,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000006,0.000020,0.999440,0.000534,7.0,6.9094,2,12,236,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000029,0.000545,0.995854,0.003572,7.0,6.6273,1,6,236,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000140,0.003253,0.758344,0.238263,21.0,20.4787,1,3,234,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.999374,0.000005,0.000189,0.000432,0.0,0.0000,3,,236,1
