filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000115,0.081631,0.059514,0.858739,14.0,13.6257,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,OR,0.001478,0.003721,0.678551,0.316251,21.0,21.3754,2,,119,0
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000002,0.995776,0.004214,0.000009,7.0,6.5988,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000003,0.976654,0.023332,0.000012,7.0,6.5597,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000002,0.999530,0.000105,0.000363,21.0,20.3770,3,,119,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000003,0.000199,0.999797,0.000002,7.0,6.6688,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000022,0.001028,0.998939,0.000011,21.0,20.9188,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000545,0.008056,0.003742,0.987658,7.0,11.6509,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000003,0.997999,0.001947,0.000051,14.0,13.9693,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000004,0.993330,0.000206,0.006461,21.0,19.4876,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000268,0.000549,0.229194,0.769990,7.0,12.2121,0,12,118,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000140,0.000125,0.942470,0.057265,7.0,7.2048,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000021,0.102371,0.897534,0.000073,7.0,6.6140,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000018,0.000355,0.999263,0.000364,14.0,11.7512,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.996803,0.000005,0.001130,0.002062,0.0,0.0000,1,,118,1
