filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000229,0.094650,0.090948,0.814174,14.0,12.4429,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000027,0.000657,0.116251,0.883066,21.0,22.5430,2,,119,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000086,0.005057,0.001928,0.992928,28.0,26.9095,0,,117,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.998946,0.001054,0.000000,7.0,11.8223,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.982702,0.017298,0.000000,7.0,13.7529,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000003,0.954362,0.000341,0.045293,21.0,20.9237,3,,119,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000174,0.946500,0.005116,0.048210,28.0,33.2402,3,,118,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000187,0.999538,0.000275,7.0,6.5103,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000018,0.021422,0.978556,0.000005,21.0,22.4967,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.001595,0.010333,0.038992,0.949081,7.0,12.5912,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000017,0.943206,0.027843,0.028935,14.0,15.7493,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000000,0.995177,0.001513,0.003310,21.0,20.0634,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.001235,0.129005,0.075195,0.794565,7.0,8.5606,0,12,118,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000059,0.001249,0.749639,0.249053,7.0,8.0621,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.001329,0.217346,0.710450,0.070875,7.0,4.3185,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000000,0.002661,0.989822,0.007517,14.0,16.6121,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.998784,0.000003,0.000366,0.000847,0.0,0.0000,1,,118,1
