filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000027,0.022315,0.026022,0.951636,14.0,14.5133,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000544,0.002425,0.061959,0.935072,21.0,20.4111,2,,119,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000337,0.001396,0.000664,0.997603,28.0,28.1557,0,,117,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.999696,0.000301,0.000003,7.0,7.3330,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.999657,0.000340,0.000003,7.0,7.4125,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000001,0.999017,0.000013,0.000969,21.0,20.9614,3,,119,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000069,0.992407,0.007057,0.000467,28.0,28.2897,3,,118,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000001,0.000157,0.999822,0.000020,7.0,7.1119,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000000,0.000285,0.999710,0.000005,21.0,21.4004,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000068,0.008396,0.002132,0.989404,7.0,10.2487,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000001,0.999498,0.000198,0.000304,14.0,14.1716,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000001,0.999529,0.000041,0.000429,21.0,20.7101,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000032,0.000856,0.142808,0.856304,7.0,14.2951,0,12,118,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000015,0.000045,0.956937,0.043004,7.0,7.0219,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000041,0.326789,0.669895,0.003275,7.0,6.2242,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000001,0.000064,0.999710,0.000224,14.0,14.2567,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.998257,0.000003,0.000380,0.001360,0.0,0.0000,1,,118,1
