filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.001433,0.016091,0.001070,0.981405,14.0,16.5551,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000569,0.004167,0.129032,0.866233,21.0,19.9030,2,,119,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000000,0.000000,0.000000,1.000000,28.0,28.1171,0,,117,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.961582,0.038418,0.000000,7.0,11.2265,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.809134,0.190866,0.000000,7.0,13.1609,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000000,0.999972,0.000007,0.000021,21.0,20.8124,3,,119,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000015,0.994421,0.005427,0.000137,28.0,30.1827,3,,118,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000300,0.995237,0.004462,7.0,7.8944,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000001,0.010627,0.988884,0.000487,21.0,22.1506,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.011512,0.002424,0.002127,0.983936,7.0,17.8502,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.001071,0.980918,0.014303,0.003709,14.0,13.7012,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000000,0.998319,0.001656,0.000025,21.0,19.2645,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.001274,0.000913,0.364677,0.633136,7.0,7.6911,0,12,118,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.001038,0.008020,0.961237,0.029706,7.0,9.2736,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000010,0.318593,0.637082,0.044314,7.0,10.1881,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000000,0.000930,0.999050,0.000019,14.0,8.7685,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.997224,0.000489,0.000009,0.002278,0.0,0.0000,1,,118,1
