filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000031,0.011527,0.009362,0.979080,14.0,15.6923,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.012356,0.002163,0.283297,0.702183,21.0,19.3290,2,,119,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000033,0.000832,0.001613,0.997522,28.0,27.9337,0,,117,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.997999,0.001995,0.000006,7.0,7.3956,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.996916,0.003075,0.000009,7.0,7.5652,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000001,0.999630,0.000147,0.000222,21.0,20.1391,3,,119,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000030,0.991278,0.007144,0.001548,28.0,27.6099,3,,118,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000015,0.999929,0.000056,7.0,6.9536,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000002,0.001104,0.998213,0.000681,21.0,21.0392,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000125,0.000360,0.022008,0.977507,7.0,19.3338,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000051,0.998020,0.001665,0.000264,14.0,14.0945,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000003,0.999355,0.000299,0.000343,21.0,20.5825,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,OR,0.000204,0.000012,0.668936,0.330848,7.0,8.4950,0,12,118,1
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000051,0.000001,0.999548,0.000399,7.0,6.8356,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000002,0.041985,0.957861,0.000152,7.0,8.3034,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000000,0.003564,0.996401,0.000034,14.0,11.9766,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.998042,0.000017,0.000557,0.001385,0.0,0.0000,1,,118,1
