filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000262,0.022541,0.003147,0.974050,14.0,15.6322,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.001452,0.012517,0.018924,0.967107,21.0,20.4562,2,,119,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000166,0.001905,0.001763,0.996165,28.0,28.3474,0,,117,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000010,0.963645,0.036209,0.000136,7.0,7.5689,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000014,0.953357,0.046411,0.000219,7.0,9.1302,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000019,0.993046,0.002571,0.004363,21.0,21.4364,3,,119,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000213,0.908438,0.087118,0.004231,28.0,27.7243,3,,118,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000049,0.001966,0.992691,0.005295,7.0,7.6190,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000032,0.001603,0.998112,0.000253,21.0,22.3907,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.046596,0.052930,0.036774,0.863700,7.0,19.3510,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.004468,0.698566,0.288839,0.008127,14.0,15.7795,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000078,0.994791,0.002816,0.002314,21.0,21.7332,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,OR,0.002113,0.094018,0.773129,0.130740,7.0,8.7111,0,12,118,1
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.002524,0.010258,0.981291,0.005927,7.0,8.0301,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000103,0.028613,0.970731,0.000553,7.0,10.4068,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000013,0.001049,0.998804,0.000133,14.0,11.5065,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.971458,0.002163,0.019771,0.006608,0.0,0.0000,1,,118,1
