filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000068,0.000797,0.000117,0.999018,14.0,18.3257,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000220,0.000029,0.000691,0.999060,21.0,21.1635,2,,119,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.999999,0.000002,0.000000,7.0,7.8006,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.999997,0.000003,0.000000,7.0,8.4124,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000000,0.999936,0.000007,0.000057,21.0,21.1514,3,,119,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000001,0.999998,0.000002,7.0,5.6295,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000001,0.007052,0.992946,0.000001,21.0,20.8965,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000041,0.001413,0.003668,0.994878,7.0,15.7077,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000003,0.979319,0.010598,0.010080,14.0,12.8145,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000000,0.999670,0.000229,0.000101,21.0,21.5458,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000466,0.000743,0.062100,0.936690,7.0,12.1279,0,12,118,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000252,0.000175,0.885452,0.114121,7.0,8.7894,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000046,0.021688,0.875850,0.102417,7.0,10.6551,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000001,0.037392,0.962588,0.000019,14.0,13.3167,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.991950,0.000070,0.003605,0.004376,0.0,0.0000,1,,118,1
