filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.013804,0.042767,0.000150,0.943279,14.0,18.4973,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000733,0.000692,0.000145,0.998430,21.0,20.9196,2,,119,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.999859,0.000140,0.000001,7.0,6.6061,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.999896,0.000101,0.000002,7.0,7.0653,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000001,0.999879,0.000028,0.000092,21.0,20.8400,3,,119,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000006,0.999991,0.000002,7.0,6.7651,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000008,0.000369,0.999608,0.000016,21.0,20.7992,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000018,0.001677,0.006035,0.992269,7.0,14.2443,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000000,0.999795,0.000017,0.000188,14.0,13.4583,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000001,0.999877,0.000028,0.000094,21.0,20.5912,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000058,0.000753,0.451093,0.548095,7.0,8.4128,0,12,118,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000021,0.000063,0.991426,0.008491,7.0,6.7783,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000001,0.000336,0.999187,0.000475,7.0,7.1901,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000003,0.002070,0.997890,0.000037,14.0,13.0137,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.998593,0.000010,0.000203,0.001194,0.0,0.0000,1,,118,1
