filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.044424,0.048975,0.001003,0.905598,14.0,18.0448,0,,118,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.001339,0.000073,0.000136,0.998452,21.0,20.7908,2,,119,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000001,0.999532,0.000459,0.000008,7.0,6.7502,1,,119,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000001,0.999404,0.000587,0.000009,7.0,6.9960,2,,119,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000005,0.999383,0.000088,0.000525,21.0,20.8404,3,,119,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000001,0.000011,0.999987,0.000001,7.0,7.0600,1,6,119,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000006,0.000097,0.999853,0.000045,21.0,21.3793,0,6,119,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.001072,0.000595,0.062808,0.935526,7.0,10.6996,0,,118,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000029,0.986717,0.009680,0.003574,14.0,13.8328,3,,118,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000004,0.999687,0.000160,0.000148,21.0,20.5789,3,,118,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,OR,0.000455,0.000224,0.765289,0.234032,7.0,8.2241,0,12,118,1
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000069,0.000048,0.997795,0.002088,7.0,6.9682,1,3,118,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000049,0.005497,0.975845,0.018609,7.0,8.9487,0,6,118,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000012,0.009721,0.990259,0.000008,14.0,13.6585,2,3,118,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.998753,0.000040,0.000270,0.000936,0.0,0.0000,1,,118,1
