filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000058,0.073338,0.124652,0.801952,14.0,12.9391,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000803,0.001858,0.211711,0.785628,21.0,21.6458,2,,237,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000001,0.998031,0.001897,0.000071,7.0,7.3602,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000001,0.994901,0.004996,0.000101,7.0,7.3035,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000004,0.994728,0.000370,0.004898,21.0,20.6211,3,,237,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000003,0.000306,0.999634,0.000056,7.0,6.7462,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000009,0.000794,0.999178,0.000018,21.0,21.2123,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.001593,0.000598,0.042861,0.954947,7.0,9.9164,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000004,0.998599,0.000955,0.000442,14.0,14.3118,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000003,0.998295,0.000977,0.000725,21.0,19.7539,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000138,0.000238,0.194544,0.805079,7.0,13.2170,0,12,235,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000055,0.000064,0.978791,0.021090,7.0,6.7236,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000035,0.121728,0.877344,0.000893,7.0,6.5367,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000031,0.000822,0.989386,0.009761,14.0,15.1751,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.997024,0.000004,0.000480,0.002493,0.0,0.0000,1,,235,1
