filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000141,0.010782,0.000164,0.988913,14.0,16.5210,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000202,0.002968,0.036531,0.960299,21.0,22.3239,2,,237,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.957747,0.042253,0.000000,7.0,9.2074,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.852318,0.147681,0.000000,7.0,11.3353,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000000,0.999904,0.000008,0.000088,21.0,17.7021,3,,237,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000335,0.991013,0.008652,7.0,6.1213,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000000,0.000429,0.999564,0.000008,21.0,20.8190,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.016304,0.021946,0.007316,0.954434,7.0,18.1463,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000296,0.988469,0.010124,0.001112,14.0,14.2124,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000000,0.999980,0.000018,0.000002,21.0,18.5213,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,OR,0.001082,0.000865,0.527034,0.471019,7.0,7.7693,0,12,235,1
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000562,0.003754,0.989893,0.005792,7.0,8.7643,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000004,0.353569,0.603704,0.042723,7.0,8.9808,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000000,0.000209,0.999785,0.000007,14.0,7.6059,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.998925,0.000492,0.000008,0.000574,0.0,0.0000,1,,235,1
