filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000152,0.091355,0.086606,0.821887,14.0,13.0956,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000008,0.000048,0.044441,0.955503,21.0,22.6358,2,,237,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000000,0.000001,0.000000,0.999999,28.0,26.9186,0,,234,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,1.000000,0.000000,0.000000,7.0,10.7981,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.999918,0.000082,0.000000,7.0,12.2453,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000000,0.995256,0.000002,0.004742,21.0,20.2464,3,,237,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000051,0.700143,0.023692,0.276113,28.0,28.0131,3,,236,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000006,0.997130,0.002864,7.0,4.8240,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000011,0.139261,0.860727,0.000001,21.0,20.7534,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000418,0.009792,0.008722,0.981068,7.0,12.6622,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000002,0.998133,0.001108,0.000757,14.0,14.8096,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000000,0.999668,0.000024,0.000309,21.0,20.1155,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000584,0.256492,0.066757,0.676167,7.0,8.4997,0,12,235,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000007,0.001023,0.871595,0.127375,7.0,8.5562,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000571,0.413136,0.523038,0.063254,7.0,4.8192,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000000,0.002144,0.993396,0.004460,14.0,16.4499,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.999837,0.000003,0.000011,0.000150,0.0,0.0000,1,,235,1
