filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000030,0.038391,0.002379,0.959199,14.0,13.3857,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.000006,0.000013,0.013079,0.986901,21.0,20.9366,2,,237,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000013,0.001205,0.000529,0.998253,28.0,28.0617,0,,234,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000002,0.998512,0.001459,0.000028,7.0,6.8680,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000001,0.998559,0.001414,0.000025,7.0,6.7681,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000000,0.999840,0.000048,0.000112,21.0,21.0104,3,,237,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000049,0.997252,0.001144,0.001555,28.0,27.9104,3,,236,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000024,0.999896,0.000080,7.0,7.1535,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000000,0.000124,0.999872,0.000004,21.0,21.0265,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000166,0.000619,0.000071,0.999144,7.0,8.9526,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000010,0.995665,0.004076,0.000249,14.0,13.9666,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000000,0.999973,0.000011,0.000016,21.0,20.9427,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000118,0.000156,0.318445,0.681281,7.0,12.1016,0,12,235,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000038,0.000041,0.990711,0.009209,7.0,7.0160,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000086,0.070616,0.840830,0.088467,7.0,7.4860,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000001,0.000145,0.999748,0.000107,14.0,14.0485,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.999657,0.000076,0.000009,0.000258,0.0,0.0000,1,,235,1
