filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.007579,0.013208,0.000857,0.978356,14.0,15.5963,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.010123,0.004367,0.083811,0.901699,21.0,20.1892,2,,237,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000038,0.000817,0.001369,0.997776,28.0,28.7014,0,,234,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000001,0.992365,0.007628,0.000005,7.0,6.4807,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000001,0.992778,0.007216,0.000005,7.0,6.6121,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000002,0.999696,0.000215,0.000087,21.0,19.9129,3,,237,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000189,0.980587,0.013659,0.005564,28.0,27.7614,3,,236,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000067,0.999843,0.000090,7.0,7.0348,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000015,0.001069,0.998387,0.000529,21.0,21.3701,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000166,0.000800,0.011230,0.987804,7.0,18.0241,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000350,0.952234,0.047274,0.000142,14.0,14.8998,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000003,0.999167,0.000739,0.000092,21.0,20.2604,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000123,0.000094,0.333407,0.666376,7.0,8.9663,0,12,235,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000199,0.000038,0.989126,0.010636,7.0,6.5684,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000004,0.017456,0.982444,0.000096,7.0,10.7380,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000000,0.000249,0.999688,0.000063,14.0,12.6939,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.998845,0.000025,0.000098,0.001031,0.0,0.0000,1,,235,1
