filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.000049,0.005327,0.000282,0.994343,14.0,14.1582,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.002740,0.000648,0.019743,0.976869,21.0,20.6697,2,,237,1
12k_Drive_End_B028_0_3005.mat,test,Drive,B,B,B,0.000020,0.001051,0.000323,0.998605,28.0,27.5522,0,,234,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,0.999641,0.000357,0.000002,7.0,7.0710,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,0.993186,0.006808,0.000005,7.0,7.2167,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000000,0.999858,0.000031,0.000111,21.0,20.6494,3,,237,1
12k_Drive_End_IR028_3_3004.mat,test,Drive,IR,IR,IR,0.000045,0.994903,0.002845,0.002207,28.0,27.9088,3,,236,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000008,0.999504,0.000488,7.0,6.9269,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000001,0.000044,0.999865,0.000091,21.0,20.9399,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000047,0.000231,0.019921,0.979802,7.0,16.2090,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000558,0.746825,0.251812,0.000805,14.0,14.9152,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000002,0.996518,0.002574,0.000905,21.0,20.5466,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,OR,0.000139,0.011009,0.777852,0.211001,7.0,8.1886,0,12,235,1
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000143,0.000042,0.999404,0.000410,7.0,6.8832,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000000,0.000020,0.999891,0.000089,7.0,7.5836,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000000,0.000039,0.999887,0.000073,14.0,11.4535,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.999664,0.000032,0.000095,0.000209,0.0,0.0000,1,,235,1
