filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.002066,0.033009,0.001622,0.963302,14.0,18.7543,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.001580,0.001411,0.002998,0.994011,21.0,19.0718,2,,237,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000000,1.000000,0.000001,0.000000,7.0,6.5801,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000000,1.000000,0.000001,0.000000,7.0,6.4160,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000000,0.999968,0.000005,0.000028,21.0,21.8912,3,,237,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000000,0.000004,0.999932,0.000064,7.0,7.9483,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000002,0.043061,0.956933,0.000003,21.0,23.0421,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000364,0.001187,0.007647,0.990802,7.0,15.7717,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000001,0.992162,0.002068,0.005768,14.0,12.4976,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000000,0.996300,0.001060,0.002640,21.0,21.5237,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.001023,0.002838,0.059967,0.936171,7.0,10.9441,0,12,235,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.001622,0.001078,0.764141,0.233158,7.0,7.9057,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000054,0.010052,0.755447,0.234448,7.0,10.9860,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000003,0.055745,0.943853,0.000399,14.0,12.9196,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.989569,0.000174,0.005427,0.004830,0.0,0.0000,1,,235,1
