filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.045021,0.051809,0.003606,0.899564,14.0,18.1757,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.002022,0.003017,0.000487,0.994474,21.0,20.3802,2,,237,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000001,0.998519,0.001447,0.000033,7.0,6.4577,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000001,0.998484,0.001469,0.000046,7.0,7.0091,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000001,0.999320,0.000164,0.000514,21.0,20.6090,3,,237,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000004,0.000038,0.999930,0.000027,7.0,6.3858,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000065,0.018982,0.980621,0.000331,21.0,20.8665,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000321,0.000697,0.011606,0.987375,7.0,15.3580,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000004,0.995852,0.000188,0.003956,14.0,13.6148,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000003,0.998496,0.000144,0.001358,21.0,21.0821,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,B,0.000758,0.004236,0.085071,0.909935,7.0,8.8348,0,12,235,0
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.002349,0.001128,0.844721,0.151802,7.0,6.8453,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000146,0.029463,0.937199,0.033191,7.0,7.5426,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000082,0.002161,0.993164,0.004593,14.0,12.4332,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.979231,0.000040,0.000610,0.020119,0.0,0.0000,1,,235,1
