filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_0_185.mat,test,Drive,B,B,B,0.008815,0.023383,0.008034,0.959767,14.0,15.4513,0,,236,1
12k_Drive_End_B021_2_224.mat,test,Drive,B,B,B,0.005084,0.000152,0.000082,0.994681,21.0,21.2646,2,,237,1
12k_Drive_End_IR007_1_106.mat,test,Drive,IR,IR,IR,0.000001,0.999646,0.000321,0.000032,7.0,6.8044,1,,237,1
12k_Drive_End_IR007_2_107.mat,test,Drive,IR,IR,IR,0.000001,0.999586,0.000379,0.000034,7.0,6.9524,2,,237,1
12k_Drive_End_IR021_3_212.mat,test,Drive,IR,IR,IR,0.000003,0.999159,0.000486,0.000352,21.0,20.9289,3,,237,1
12k_Drive_End_OR007@6_1_131.mat,test,Drive,OR,OR,OR,0.000010,0.000012,0.999886,0.000092,7.0,6.9826,1,6,238,1
12k_Drive_End_OR021@6_0_234.mat,test,Drive,OR,OR,OR,0.000050,0.000188,0.999727,0.000035,21.0,21.0630,0,6,238,1
12k_Fan_End_B007_0_282.mat,test,Fan,B,B,B,0.000042,0.001052,0.020447,0.978460,7.0,11.6820,0,,235,1
12k_Fan_End_IR014_3_277.mat,test,Fan,IR,IR,IR,0.000001,0.997751,0.000410,0.001838,14.0,13.9660,3,,235,1
12k_Fan_End_IR021_3_273.mat,test,Fan,IR,IR,IR,0.000003,0.999260,0.000401,0.000336,21.0,20.7795,3,,235,1
12k_Fan_End_OR007@12_0_302.mat,test,Fan,OR,OR,OR,0.000244,0.052490,0.765047,0.182219,7.0,6.2664,0,12,235,1
12k_Fan_End_OR007@3_1_299.mat,test,Fan,OR,OR,OR,0.000069,0.000212,0.996816,0.002903,7.0,6.9056,1,3,235,1
12k_Fan_End_OR007@6_0_294.mat,test,Fan,OR,OR,OR,0.000017,0.000340,0.999213,0.000429,7.0,7.1891,0,6,235,1
12k_Fan_End_OR014@3_2_311.mat,test,Fan,OR,OR,OR,0.000016,0.000655,0.999072,0.000258,14.0,13.1200,2,3,235,1
normal_1_98.mat,test,Normal,Normal,Normal,Normal,0.990431,0.000356,0.006268,0.002944,0.0,0.0000,1,,235,1
