filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000019,0.000725,0.000490,0.998766,14.0,14.2912,2,,119,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000006,0.999857,0.000130,0.000007,7.0,6.8465,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000003,0.999331,0.000106,0.000560,21.0,20.8660,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000013,0.000751,0.989179,0.010057,7.0,7.1031,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000025,0.000187,0.999750,0.000037,7.0,7.0362,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000001,0.000240,0.999753,0.000005,7.0,7.2033,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000001,0.000268,0.999727,0.000004,21.0,21.0608,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000000,0.000033,0.999966,0.000001,21.0,20.9173,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.001226,0.059638,0.061114,0.878022,14.0,12.8762,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000430,0.005382,0.210004,0.784183,14.0,12.3815,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000059,0.003797,0.029449,0.966695,14.0,13.4158,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000015,0.999513,0.000277,0.000195,7.0,6.9314,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000023,0.000138,0.999664,0.000175,7.0,7.6065,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000152,0.189829,0.606635,0.203384,14.0,15.3165,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999189,0.000048,0.000034,0.000729,0.0,0.0000,2,,118,1
