filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000346,0.000409,0.000238,0.999007,14.0,14.6854,2,,119,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000030,0.880232,0.119699,0.000040,7.0,8.2982,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000007,0.977055,0.022391,0.000546,21.0,20.5076,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000009,0.000436,0.998719,0.000837,7.0,5.8367,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000004,0.000001,0.999993,0.000002,7.0,4.7630,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,7.0,9.3315,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000027,0.000736,0.999051,0.000186,21.0,19.5245,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000005,0.000146,0.999849,0.000001,21.0,20.5481,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000002,0.009710,0.005387,0.984902,14.0,16.0789,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000022,0.006451,0.002904,0.990623,14.0,13.2502,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000001,0.001942,0.000699,0.997358,14.0,11.8525,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000008,0.983000,0.016991,0.000002,7.0,6.5656,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000008,0.000016,0.999973,0.000004,7.0,8.2851,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000003,0.000388,0.999596,0.000013,14.0,13.6371,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999459,0.000019,0.000350,0.000172,0.0,0.0000,2,,118,1
