filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000704,0.000026,0.000025,0.999245,14.0,13.8979,2,,119,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999813,0.000175,0.000012,7.0,7.1342,0,,118,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000004,0.999106,0.000143,0.000747,21.0,21.3435,2,,118,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000001,0.000059,0.999635,0.000305,7.0,6.7179,1,12,119,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000001,0.000013,0.999971,0.000015,7.0,6.6926,2,3,118,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000001,0.000025,0.999968,0.000006,7.0,8.0327,3,6,119,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000012,0.000263,0.999645,0.000080,21.0,20.9531,2,3,119,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000011,0.000085,0.999862,0.000042,21.0,20.8580,1,6,119,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000031,0.015678,0.004589,0.979702,14.0,15.0643,0,,119,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000025,0.002739,0.001755,0.995481,14.0,13.1779,1,,118,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000018,0.013449,0.002079,0.984454,14.0,14.1082,2,,119,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000002,0.996960,0.003016,0.000022,7.0,6.3966,1,,118,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000006,0.000001,0.999914,0.000079,7.0,7.7660,3,12,118,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000002,0.000020,0.999968,0.000010,14.0,13.7355,0,3,118,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999717,0.000009,0.000028,0.000247,0.0,0.0000,2,,118,1
