filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000002,0.000152,0.000009,0.999837,14.0,14.3718,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999971,0.000027,0.000001,7.0,7.3905,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000002,0.999410,0.000100,0.000488,21.0,21.2187,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000002,0.000163,0.990390,0.009445,7.0,6.8113,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000020,0.999979,0.000000,7.0,6.8059,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000001,0.000210,0.999788,0.000001,7.0,7.8731,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000005,0.000275,0.999719,0.000001,21.0,20.7554,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000002,0.000035,0.999963,0.000000,21.0,20.8524,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000005,0.004199,0.004800,0.990995,14.0,16.5145,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000003,0.000063,0.030165,0.969770,14.0,15.7147,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000001,0.000211,0.000991,0.998797,14.0,15.4987,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000001,0.999832,0.000144,0.000023,7.0,7.1720,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000001,0.000007,0.999926,0.000066,7.0,7.3769,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000135,0.041558,0.835397,0.122910,14.0,15.0268,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999708,0.000007,0.000141,0.000144,0.0,0.0000,2,,235,1
