filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000113,0.000017,0.000041,0.999830,14.0,16.5856,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999801,0.000199,0.000000,7.0,7.2066,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000000,0.998652,0.001277,0.000071,21.0,20.2454,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000001,0.000422,0.982039,0.017538,7.0,7.8913,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,7.0,5.4719,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000021,0.999980,0.000000,7.0,9.8606,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000000,0.000008,0.999990,0.000003,21.0,23.1471,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000000,0.000010,0.999990,0.000000,21.0,21.4781,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000615,0.000683,0.003102,0.995600,14.0,16.1812,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.029137,0.001674,0.034375,0.934814,14.0,13.6869,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000002,0.010161,0.001756,0.988082,14.0,13.7144,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000000,0.844967,0.155022,0.000010,7.0,7.0569,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000000,0.000000,0.993371,0.006629,7.0,9.9017,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000000,0.000000,1.000000,0.000000,14.0,14.5342,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999555,0.000096,0.000268,0.000081,0.0,0.0000,2,,235,1
