filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000117,0.000046,0.001328,0.998509,14.0,15.2971,2,,237,1
12k_Drive_End_B028_2_3007.mat,test,Drive,B,B,B,0.000121,0.000794,0.013860,0.985225,28.0,27.8772,2,,235,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000008,0.993662,0.006279,0.000051,7.0,7.0620,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000048,0.987263,0.006243,0.006447,21.0,20.7809,2,,236,1
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,IR,IR,0.000139,0.990913,0.006449,0.002499,28.0,27.8670,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000025,0.000289,0.976808,0.022878,7.0,8.5785,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000005,0.000346,0.997174,0.002476,7.0,7.4640,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000007,0.001122,0.997914,0.000957,7.0,9.4596,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000134,0.005621,0.985510,0.008735,21.0,21.4883,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000038,0.001625,0.994817,0.003519,21.0,21.1029,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.022420,0.023675,0.140083,0.813822,14.0,18.6014,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.114782,0.042822,0.274757,0.567639,14.0,16.2174,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.002092,0.122364,0.091770,0.783775,14.0,19.6815,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000021,0.957986,0.041839,0.000152,7.0,6.1008,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000051,0.000453,0.902258,0.097238,7.0,7.7024,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000007,0.000245,0.997628,0.002119,14.0,12.2941,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.992103,0.001493,0.003727,0.002676,0.0,0.0000,2,,235,1
