filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000004,0.000006,0.000025,0.999965,14.0,13.9923,2,,237,1
12k_Drive_End_B028_2_3007.mat,test,Drive,B,B,B,0.000026,0.000063,0.000560,0.999350,28.0,28.0714,2,,235,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000000,0.999955,0.000045,0.000000,7.0,7.0031,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000001,0.999876,0.000115,0.000009,21.0,21.0608,2,,236,1
12k_Drive_End_IR028_2_3003.mat,test,Drive,IR,IR,IR,0.000005,0.999753,0.000204,0.000037,28.0,27.9424,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000000,0.000008,0.999942,0.000051,7.0,6.9612,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000001,0.000102,0.999739,0.000157,7.0,6.9527,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000000,0.000012,0.999982,0.000006,7.0,7.4377,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000001,0.000088,0.999889,0.000023,21.0,20.9826,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000001,0.000096,0.999888,0.000014,21.0,21.0209,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000022,0.000359,0.000381,0.999237,14.0,14.1742,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.004822,0.001058,0.003743,0.990377,14.0,13.5751,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000022,0.000718,0.000617,0.998643,14.0,13.9195,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000000,0.997037,0.002954,0.000008,7.0,7.2216,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000000,0.000004,0.999939,0.000057,7.0,7.0449,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000000,0.000044,0.999909,0.000047,14.0,13.8949,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.999700,0.000118,0.000082,0.000100,0.0,0.0000,2,,235,1
