filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B014_2_187.mat,test,Drive,B,B,B,0.000726,0.000443,0.000560,0.998271,14.0,14.2426,2,,237,1
12k_Drive_End_IR007_0_105.mat,test,Drive,IR,IR,IR,0.000001,0.999899,0.000086,0.000015,7.0,6.4586,0,,235,1
12k_Drive_End_IR021_2_211.mat,test,Drive,IR,IR,IR,0.000027,0.987001,0.002510,0.010462,21.0,21.2239,2,,236,1
12k_Drive_End_OR007@12_1_158.mat,test,Drive,OR,OR,OR,0.000005,0.000434,0.998972,0.000588,7.0,7.3397,1,12,237,1
12k_Drive_End_OR007@3_2_146.mat,test,Drive,OR,OR,OR,0.000003,0.000039,0.999950,0.000008,7.0,7.0347,2,3,236,1
12k_Drive_End_OR007@6_3_133.mat,test,Drive,OR,OR,OR,0.000001,0.000020,0.999970,0.000008,7.0,8.9980,3,6,238,1
12k_Drive_End_OR021@3_2_248.mat,test,Drive,OR,OR,OR,0.000006,0.000195,0.999607,0.000192,21.0,20.9600,2,3,237,1
12k_Drive_End_OR021@6_1_235.mat,test,Drive,OR,OR,OR,0.000005,0.000030,0.999835,0.000130,21.0,20.9992,1,6,237,1
12k_Fan_End_B014_0_286.mat,test,Fan,B,B,B,0.000127,0.025095,0.100225,0.874553,14.0,15.9734,0,,237,1
12k_Fan_End_B014_1_287.mat,test,Fan,B,B,B,0.000064,0.004508,0.013622,0.981806,14.0,14.2693,1,,236,1
12k_Fan_End_B014_2_288.mat,test,Fan,B,B,B,0.000056,0.010623,0.014791,0.974530,14.0,15.1689,2,,237,1
12k_Fan_End_IR007_1_279.mat,test,Fan,IR,IR,IR,0.000007,0.998422,0.001355,0.000215,7.0,7.2381,1,,236,1
12k_Fan_End_OR007@12_3_307.mat,test,Fan,OR,OR,OR,0.000044,0.000005,0.999305,0.000646,7.0,6.7869,3,12,235,1
12k_Fan_End_OR014@3_0_310.mat,test,Fan,OR,OR,OR,0.000012,0.000191,0.999307,0.000490,14.0,14.1659,0,3,236,1
normal_2_99.mat,test,Normal,Normal,Normal,Normal,0.998748,0.000136,0.000538,0.000577,0.0,0.0000,2,,235,1
