filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000000,0.000267,0.008033,0.991700,7.0,6.5845,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.021834,0.028100,0.369418,0.580648,21.0,12.4114,0,,119,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.999708,0.000292,0.000000,7.0,8.3847,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.025275,0.925922,0.045004,0.003799,14.0,12.7660,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.998015,0.000075,0.001910,21.0,20.1265,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.000515,0.003769,0.981556,0.014160,14.0,14.9273,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.000103,0.999897,0.000001,21.0,20.5407,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000000,0.009524,0.990475,0.000002,21.0,18.8292,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000091,0.012241,0.013791,0.973877,7.0,7.1490,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000011,0.010219,0.023654,0.966116,21.0,14.2049,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000045,0.992611,0.000608,0.006737,14.0,14.7003,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000000,0.000039,0.992762,0.007200,7.0,7.2570,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000000,0.004050,0.991016,0.004934,7.0,6.5483,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000024,0.153857,0.834424,0.011695,21.0,20.1155,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.987937,0.010384,0.000728,0.000951,0.0,0.0000,3,,118,1
