filename,split,end,fault,true_class,pred_class,p_Normal,p_IR,p_OR,p_B,true_diameter_mil,pred_diameter_mil,load,or_clock,n_windows,correct
12k_Drive_End_B007_2_120.mat,test,Drive,B,B,B,0.000000,0.000268,0.002404,0.997328,7.0,7.2474,2,,118,1
12k_Drive_End_B021_0_222.mat,test,Drive,B,B,B,0.026829,0.000782,0.054954,0.917435,21.0,13.0036,0,,119,1
12k_Drive_End_B028_3_3008.mat,test,Drive,B,B,B,0.000002,0.000073,0.000241,0.999684,28.0,29.2923,3,,118,1
12k_Drive_End_IR007_3_108.mat,test,Drive,IR,IR,IR,0.000000,0.947501,0.052499,0.000000,7.0,11.1722,3,,120,1
12k_Drive_End_IR014_0_169.mat,test,Drive,IR,IR,IR,0.067746,0.844888,0.085742,0.001624,14.0,15.6364,0,,118,1
12k_Drive_End_IR021_1_210.mat,test,Drive,IR,IR,IR,0.000000,0.995428,0.000082,0.004490,21.0,19.6197,1,,118,1
12k_Drive_End_IR028_1_3002.mat,test,Drive,IR,IR,IR,0.000000,0.999994,0.000004,0.000002,28.0,26.8910,1,,118,1
12k_Drive_End_OR014@6_3_200.mat,test,Drive,OR,OR,OR,0.000434,0.020789,0.963421,0.015356,14.0,14.3056,3,6,119,1
12k_Drive_End_OR021@3_1_247.mat,test,Drive,OR,OR,OR,0.000000,0.008287,0.991685,0.000028,21.0,21.2177,1,3,119,1
12k_Drive_End_OR021@6_3_237.mat,test,Drive,OR,OR,OR,0.000001,0.003533,0.996465,0.000002,21.0,19.5026,3,6,119,1
12k_Fan_End_B007_2_284.mat,test,Fan,B,B,B,0.000028,0.031011,0.170319,0.798642,7.0,7.7309,2,,118,1
12k_Fan_End_B021_1_291.mat,test,Fan,B,B,B,0.000001,0.000312,0.001553,0.998134,21.0,17.8106,1,,118,1
12k_Fan_End_IR014_1_276.mat,test,Fan,IR,IR,IR,0.000001,0.943973,0.046753,0.009273,14.0,14.5281,1,,118,1
12k_Fan_End_OR007@12_2_306.mat,test,Fan,OR,OR,OR,0.000001,0.000258,0.994804,0.004937,7.0,6.5165,2,12,118,1
12k_Fan_End_OR007@6_1_295.mat,test,Fan,OR,OR,OR,0.000029,0.001638,0.923767,0.074566,7.0,8.6687,1,6,118,1
12k_Fan_End_OR021@3_1_316.mat,test,Fan,OR,OR,OR,0.000002,0.027568,0.947361,0.025069,21.0,14.7107,1,3,117,1
normal_3_100.mat,test,Normal,Normal,Normal,Normal,0.993249,0.000021,0.004281,0.002449,0.0,0.0000,3,,118,1
